Trade: EGLDUSDT | 1666274127413 | TimeStarted: [21:55 20-Oct-22] | TimeUpdated: [22:55 20-Oct-22] | LongestUpdate: 17.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666274127413 | TimeStarted: [21:55 20-Oct-22] | TimeUpdated: [22:56 20-Oct-22] | LongestUpdate: 17.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666278348572 | TimeStarted: [23:05 20-Oct-22] | TimeUpdated: [23:05 20-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666278348572 | TimeStarted: [23:05 20-Oct-22] | TimeUpdated: [23:06 20-Oct-22] | LongestUpdate: 1.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666278455346 | TimeStarted: [23:07 20-Oct-22] | TimeUpdated: [23:07 20-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666278548207 | TimeStarted: [23:09 20-Oct-22] | TimeUpdated: [23:09 20-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666278605886 | TimeStarted: [23:10 20-Oct-22] | TimeUpdated: [23:10 20-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666278742227 | TimeStarted: [23:12 20-Oct-22] | TimeUpdated: [23:12 20-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666278814492 | TimeStarted: [23:13 20-Oct-22] | TimeUpdated: [23:13 20-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666429858372 | TimeStarted: [17:10 22-Oct-22] | TimeUpdated: [17:11 22-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666429858372 | TimeStarted: [17:10 22-Oct-22] | TimeUpdated: [17:11 22-Oct-22] | LongestUpdate: 0.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666434094213 | TimeStarted: [18:21 22-Oct-22] | TimeUpdated: [18:23 22-Oct-22] | LongestUpdate: 1.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666434144353 | TimeStarted: [18:22 22-Oct-22] | TimeUpdated: [18:23 22-Oct-22] | LongestUpdate: 0.6m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666436166714 | TimeStarted: [18:56 22-Oct-22] | TimeUpdated: [18:57 22-Oct-22] | LongestUpdate: 0.9m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666436259874 | TimeStarted: [18:57 22-Oct-22] | TimeUpdated: [18:58 22-Oct-22] | LongestUpdate: 0.3m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666436889211 | TimeStarted: [19:08 22-Oct-22] | TimeUpdated: [19:09 22-Oct-22] | LongestUpdate: 0.8m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666437358581 | TimeStarted: [19:15 22-Oct-22] | TimeUpdated: [19:18 22-Oct-22] | LongestUpdate: 2.0m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666437502186 | TimeStarted: [19:18 22-Oct-22] | TimeUpdated: [19:19 22-Oct-22] | LongestUpdate: 0.6m | Origin: Hirn | Status: profit_________________________________

Trade: EGLDUSDT | 1666437579529 | TimeStarted: [19:19 22-Oct-22] | TimeUpdated: [19:20 22-Oct-22] | LongestUpdate: 0.3m | Origin: Hirn | Status: profit_________________________________

